"water" "floodplain" "culvert" "forest" "slope" "visibiity" "silviculture" "pasture" "urban" "embankment" "car_return" "aerial_structure" "new_jersey" "domestic_animal" "people" "traffic"
"d01" 1 1 1 1 0 1 1 1 1 0 1 0 0 1 1 1
"d02" 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1
"d03" 1 1 1 1 0 1 0 0 1 0 0 1 0 0 1 1
"d04" 1 1 1 1 0 1 1 0 1 0 1 1 0 0 1 1
"d05" 0 0 0 1 1 1 0 0 1 1 0 0 0 0 1 1
"d06" 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1
"d07" 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1
"d08" 1 1 1 1 0 1 0 1 1 0 1 1 0 0 1 1
"d09" 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 1
"d10" 0 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1
"d11" 1 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1
"d12" 1 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1
"d13" 0 0 0 1 1 1 0 1 1 1 1 0 1 0 1 1
"d14" 1 0 0 1 1 1 1 1 0 1 0 0 1 0 0 1
"d15" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1
"f01" 1 1 1 1 0 1 1 0 1 0 1 1 1 0 1 1
"f02" 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 1
"f03" 1 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1
"f04" 0 0 0 1 1 1 1 0 1 0 1 0 0 0 1 1
"f05" 0 0 0 1 1 1 0 0 1 1 0 1 1 0 1 1
"f06" 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 1
"f07" 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1
"f08" 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1
"f09" 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1
"f10" 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 1
"f11" 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1
"f12" 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1
"f13" 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1
