expert	local	taxa	water	floodplain	culvert	forest	slope	visibiity	silviculture	pasture	urban	embankment	car_return	aerial_structure	new_jersey	domestic_animal	people	traffic
s1	d01	amphibian	1	1	1	1	NA	0	0	0	-1	NA	1	NA	NA	0	0	0
s1	d02	amphibian	1	1	1	1	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	0
s1	d03	amphibian	1	1	1	1	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	0
s1	d04	amphibian	1	1	1	1	NA	0	0	NA	0	NA	1	0	NA	NA	0	-1
s1	d05	amphibian	NA	NA	NA	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0	0
s1	d06	amphibian	NA	NA	NA	0	0	0	NA	0	0	0	0	NA	NA	0	0	0
s1	d07	amphibian	NA	NA	NA	0	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0
s1	d08	amphibian	1	1	1	1	NA	0	NA	0	0	NA	1	0	NA	NA	0	-1
s1	d09	amphibian	NA	NA	NA	0	0	0	NA	0	0	0	NA	NA	NA	NA	NA	0
s1	d10	amphibian	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0
s1	d11	amphibian	1	NA	NA	1	0	0	NA	0	-1	-1	1	NA	0	0	0	-1
s1	d12	amphibian	0	NA	NA	0	-1	0	NA	-1	NA	-1	NA	NA	NA	NA	NA	0
s1	d13	amphibian	NA	NA	NA	0	-1	0	NA	-1	0	-1	0	NA	0	NA	0	0
s1	d14	amphibian	1	NA	NA	0	-1	0	0	-1	NA	-1	NA	NA	-1	NA	NA	0
s1	d15	amphibian	1	1	1	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	0
s1	f01	amphibian	1	1	1	1	NA	0	0	NA	-1	NA	1	0	-1	NA	0	0
s1	f02	amphibian	1	NA	NA	NA	0	0	NA	NA	-1	-1	NA	NA	-1	NA	0	0
s1	f03	amphibian	1	1	NA	1	0	0	NA	NA	-1	NA	1	0	NA	NA	0	0
s1	f04	amphibian	NA	NA	NA	0	0	0	0	NA	-1	NA	0	NA	NA	NA	0	0
s1	f05	amphibian	NA	NA	NA	0	0	0	NA	NA	-1	-1	NA	0	-1	NA	0	0
s1	f06	amphibian	1	1	NA	0	-1	0	0	0	-1	NA	NA	NA	-1	NA	0	0
s1	f07	amphibian	1	NA	NA	0	-1	0	0	0	-1	-1	NA	NA	-1	0	0	0
s1	f08	amphibian	1	1	NA	0	0	0	0	0	-1	0	NA	0	-1	0	0	0
s1	f09	amphibian	1	NA	NA	0	0	0	0	0	-1	NA	NA	0	-1	0	0	0
s1	f10	amphibian	1	1	NA	1	0	0	0	0	-1	NA	NA	NA	0	NA	0	0
s1	f11	amphibian	1	NA	1	1	0	0	0	0	0	NA	NA	0	-1	0	0	0
s1	f12	amphibian	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	-1	NA	NA	0
